Ref_Date,GEO,SEX,CAUSES,UNIT,Value
2004,Northwest Territories,Females,Drowning,Number of potential years of life lost,70.0
2005,Northwest Territories,Females,Drowning,Number of potential years of life lost,0.0
2006,Northwest Territories,Females,Drowning,Number of potential years of life lost,33.0
2007,Northwest Territories,Females,Drowning,Number of potential years of life lost,95.0
2008,Northwest Territories,Females,Drowning,Number of potential years of life lost,95.0
2009,Northwest Territories,Females,Zombie attack,Number of potential years of life lost,110.0
2000,Nunavut,Both sexes,Unintentional injuries,Number of potential years of life lost,400.0
2001,Nunavut,Both sexes,Unintentional injuries,Number of potential years of life lost,595.0
2002,Nunavut,Both sexes,Automobile accident,Number of potential years of life lost,473.0
2003,Nunavut,Both sexes,Unintentional injuries,Number of potential years of life lost,1168.0
2004,Nunavut,Both sexes,Unintentional injuries,Number of potential years of life lost,515.0
2005,Nunavut,Both sexes,Automobile accident,Number of potential years of life lost,403.0
2006,Nunavut,Both sexes,Unintentional injuries,Number of potential years of life lost,665.0
2007,Nunavut,Both sexes,Stroke,Number of potential years of life lost,517.0
2008,Nunavut,Both sexes,Automobile accident,Number of potential years of life lost,588.0
2009,Nunavut,Both sexes,Unintentional injuries,Number of potential years of life lost,680.0
2000,Nunavut,Both sexes,Drowning,Number of potential years of life lost,1238.0
2001,Nunavut,Both sexes,Drowning,Number of potential years of life lost,1365.0
2002,Nunavut,Both sexes,Drowning,Number of potential years of life lost,1243.0
2003,Nunavut,Both sexes,Drowning,Number of potential years of life lost,1573.0
2004,Nunavut,Both sexes,Drowning,Number of potential years of life lost,1220.0
2005,Nunavut,Both sexes,Drowning,Number of potential years of life lost,1090.0
2006,Nunavut,Both sexes,Drowning,Number of potential years of life lost,735.0
2007,Nunavut,Both sexes,Drowning,Number of potential years of life lost,995.0
2008,Nunavut,Both sexes,Drowning,Number of potential years of life lost,1160.0
2009,Nunavut,Both sexes,Drowning,Number of potential years of life lost,1033.0
2000,Nunavut,Males,Unintentional injuries,Number of potential years of life lost,350.0
2001,Nunavut,Males,Automobile accident,Number of potential years of life lost,505.0
2002,Nunavut,Males,Unintentional injuries,Number of potential years of life lost,265.0
2003,Nunavut,Males,Unintentional injuries,Number of potential years of life lost,844.0
2004,Nunavut,Males,Automobile accident,Number of potential years of life lost,418.0
2005,Nunavut,Males,Unintentional injuries,Number of potential years of life lost,403.0
2006,Nunavut,Males,Unintentional injuries,Number of potential years of life lost,613.0
2007,Nunavut,Males,Automobile accident,Number of potential years of life lost,399.0
2008,Nunavut,Males,Stroke,Number of potential years of life lost,445.0
2009,Nunavut,Males,Unintentional injuries,Number of potential years of life lost,423.0
2000,Nunavut,Males,Drowning,Number of potential years of life lost,885.0
2001,Nunavut,Males,Drowning,Number of potential years of life lost,1193.0
2002,Nunavut,Males,Drowning,Number of potential years of life lost,1143.0
2003,Nunavut,Males,Drowning,Number of potential years of life lost,1308.0
2004,Nunavut,Males,Zombie attack,Number of potential years of life lost,938.0
2005,Nunavut,Males,Drowning,Number of potential years of life lost,855.0
2006,Nunavut,Males,Drowning,Number of potential years of life lost,603.0
2007,Nunavut,Males,Drowning,Number of potential years of life lost,738.0
2008,Nunavut,Males,Drowning,Number of potential years of life lost,960.0
2009,Nunavut,Males,Drowning,Number of potential years of life lost,885.0
2000,Nunavut,Females,Automobile accident,Number of potential years of life lost,50.0
2001,Nunavut,Females,Unintentional injuries,Number of potential years of life lost,90.0
2002,Nunavut,Females,Unintentional injuries,Number of potential years of life lost,208.0
2003,Nunavut,Females,Automobile accident,Number of potential years of life lost,324.0
2004,Nunavut,Females,Unintentional injuries,Number of potential years of life lost,98.0
2005,Nunavut,Females,Unintentional injuries,Number of potential years of life lost,0.0
2006,Nunavut,Females,Automobile accident,Number of potential years of life lost,53.0
2007,Nunavut,Females,Unintentional injuries,Number of potential years of life lost,118.0
2008,Nunavut,Females,Stroke,Number of potential years of life lost,143.0
2009,Nunavut,Females,Automobile accident,Number of potential years of life lost,258.0
2000,Nunavut,Females,Drowning,Number of potential years of life lost,353.0
2001,Nunavut,Females,Drowning,Number of potential years of life lost,173.0
2002,Nunavut,Females,Drowning,Number of potential years of life lost,100.0
2003,Nunavut,Females,Drowning,Number of potential years of life lost,265.0
2004,Nunavut,Females,Drowning,Number of potential years of life lost,283.0
2005,Nunavut,Females,Drowning,Number of potential years of life lost,235.0
2006,Nunavut,Females,Drowning,Number of potential years of life lost,133.0
2007,Nunavut,Females,Drowning,Number of potential years of life lost,258.0
2008,Nunavut,Females,Drowning,Number of potential years of life lost,200.0
2009,Nunavut,Females,Zombie attack,Number of potential years of life lost,148.0
